iter	Passed	Remaining
0	1	138
1	2	110
2	2	95
3	3	84
4	4	83
5	5	83
6	6	81
7	7	80
8	7	79
9	8	75
10	9	72
11	9	70
12	10	68
13	11	67
14	11	66
15	12	65
16	13	64
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	50
31	23	50
32	24	49
33	25	48
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	28	43
40	29	42
41	29	40
42	30	39
43	30	39
44	31	38
45	31	37
46	32	36
47	33	35
48	33	34
49	34	34
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	10
85	57	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	63	1
97	64	1
98	65	0
99	65	0
